Subject,Cond,Trial,T_s,T_p,Main
0,One,352,1732.28,1732.28,Train
0,One,353,1754.25,1754.25,Train
0,One,354,2119.39,2119.39,Train
0,One,355,1864.88,1864.88,Train
0,One,356,1999.78,1999.78,Train
0,One,357,2048.68,2048.68,Train
0,One,358,1533.12,1533.12,Train
0,One,359,1540.64,1540.64,Train
0,One,360,2173.38,2173.38,Train
0,One,361,1989.24,1989.24,Train
0,One,362,2289.77,2289.77,Train
0,One,363,2144.3,2144.3,Train
0,One,364,2462.68,2462.68,Train
0,One,365,1689.41,1689.41,Train
0,One,366,1901.3,1901.3,Train
0,One,367,1417.81,1417.81,Train
0,One,368,1381.77,1381.77,Train
0,One,369,1650.37,1650.37,Train
0,One,370,2016.5,2016.5,Train
0,One,371,1641.73,1641.73,Train
0,One,372,1790.04,1790.04,Train
0,One,373,1630.99,1630.99,Train
0,One,374,1589.12,1589.12,Train
0,One,375,2207.89,2207.89,Train
0,One,376,1613.05,1613.05,Train
0,One,377,2296.98,2296.98,Train
0,One,378,2128.9,2128.9,Train
0,One,379,1753.4,1753.4,Train
0,One,380,1598.75,1598.75,Train
0,One,381,1468.89,1468.89,Train
0,One,382,1770.1,1770.1,Train
0,One,383,1956.37,1956.37,Train
0,One,384,2131.58,2131.58,Train
0,One,385,1761.72,1761.72,Train
0,One,386,1877.01,1877.01,Train
0,One,387,1896.72,1896.72,Train
0,One,388,2422.25,2422.25,Train
0,One,389,1904.93,1904.93,Train
0,One,390,2086.51,2086.51,Train
0,One,391,1464.28,1464.28,Train
0,One,392,2443.32,2443.32,Train
0,One,393,1766.06,1766.06,Train
0,One,394,1718.62,1718.62,Train
0,One,395,1755.09,1755.09,Train
0,One,396,2218.58,2218.58,Train
0,One,397,1873.91,1873.91,Train
0,One,398,1756.85,1756.85,Train
0,One,399,2539.51,2539.51,Train
0,One,400,1958.89,1958.89,Train
0,One,401,1645.61,1645.61,Train
0,One,402,2341.5,2341.5,Train
0,One,403,1868.96,1868.96,Train
0,One,404,1471.79,1471.79,Train
